steps,bmi
4939,17.6
13170,17.6
12731,23.8
11853,18.7
7829,29.5
6475,31.5
2195,30.9
402,28.4
8707,30.1
5231,18.5
7243,26.1
11195,29.5
5378,22.9
1426,28.9
9695,28.9
2121,30.7
1536,23.5
13280,21.8
5048,19.7
11524,17.8
9439,24.6
8670,27.7
6804,17.5
9329,29.3
5121,26.2
12658,24.9
5926,16.9
6146,27.0
12146,22.4
8780,22.5
7756,28.4
11231,16.9
5121,20.4
9365,28.8
3292,29.8
13756,17.5
10060,27.4
2670,28.0
6292,25.5
7426,27.8
12109,17.5
6475,29.0
6951,17.4
5158,29.7
11158,17.5
8158,28.6
8158,22.0
1829,29.3
11048,28.3
12475,17.4
13243,21.8
8012,28.3
10646,30.4
8268,22.0
6548,26.2
10207,31.3
4573,23.5
5414,23.1
7243,29.1
5963,28.5
7390,30.0
2634,29.6
7609,17.2
9841,29.5
3000,28.3
9621,26.2
8012,22.2
6073,30.2
11524,19.1
621,28.8
9987,26.9
6402,18.8
10573,19.6
439,28.3
7207,29.4
5560,26.7
2560,27.0
6329,28.1
12329,16.7
6109,29.3
4170,16.8
7536,17.2
8158,22.0
2634,26.5
8670,28.1
7426,30.3
3548,29.4
6804,21.5
9219,28.8
10097,29.9
8451,30.0
6658,31.1
11048,28.2
8963,27.8
8634,29.2
12878,17.6
11743,17.1
6951,31.3
8707,29.5
5048,19.9
4353,16.5
6146,27.2
5158,19.1
9658,31.2
14963,16.6
8817,31.9
9000,30.3
7939,22.5
9951,31.0
11048,28.3
5597,16.8
5048,20.0
2743,29.6
4682,16.6
3439,16.6
10792,19.5
9256,29.1
14524,20.4
4939,29.8
7682,29.4
8670,31.8
2853,29.7
7353,29.2
9292,31.3
6219,27.4
6548,26.9
6475,19.2
7060,29.0
7975,17.4
10024,29.9
6109,27.3
9219,29.5
12804,24.4
5670,30.3
9146,23.0
13902,21.3
14414,17.2
12951,16.6
1682,31.8
10426,20.1
1207,23.6
11780,28.8
2963,16.8
6292,17.9
6914,25.2
2085,30.5
6768,20.1
5560,22.1
9036,29.5
2268,28.4
7170,29.0
5048,17.9
8670,29.1
6000,28.5
11378,29.8
585,23.8
9182,23.2
9329,23.4
8341,15.0
10170,26.4
8707,15.6
8926,16.1
14195,21.0
5780,29.0
6987,29.5
548,27.8
7609,28.1
12841,22.1
6256,17.9
3878,17.0
2341,25.7
5853,21.1
10792,26.4
7353,27.8
9109,25.0
9292,29.2
10536,28.8
8634,31.5
10682,26.0
8743,28.1
5341,28.2
2560,29.7
8817,17.0
6439,29.2
1756,29.1
9219,30.1
10426,27.7
9621,18.1
6146,24.7
2634,26.4
2195,31.0
2524,29.8
11487,17.9
8853,27.6
2085,30.6
2560,26.0
10170,31.4
9512,24.6
5560,26.9
4902,29.8
7536,29.4
6987,29.1
10939,30.0
6000,24.5
8890,28.2
6768,26.2
5560,26.2
10317,27.4
8780,22.5
2707,30.4
7426,21.2
5926,16.4
9329,29.2
6000,17.0
12731,17.2
6365,21.1
12768,22.2
9402,17.8
10390,31.4
7024,17.5
9365,29.2
6548,28.9
6951,27.6
11780,18.8
9365,23.6
5926,15.9
7280,21.5
7865,29.6
6329,24.8
7719,15.0
6292,31.2
15000,16.7
2743,30.7
7939,27.9
9219,29.2
9621,24.5
11085,28.3
7317,27.4
10207,27.4
7097,29.2
10170,29.4
4829,17.5
11890,29.3
13353,16.6
1243,31.3
9695,26.8
9109,15.8
9585,24.4
14158,17.0
7134,29.3
12000,22.1
6365,29.9
6000,30.1
4829,17.5
13682,16.5
12036,25.6
9439,31.3
6914,17.4
6841,27.8
6914,29.2
14560,20.4
8963,16.9
9914,31.2
9621,26.8
11378,26.0
6475,29.1
9548,31.5
8926,29.3
5890,21.7
7829,31.5
9292,27.7
11597,17.8
10865,30.2
6804,31.2
12219,22.5
11707,17.9
10353,30.2
8341,27.9
804,28.7
7097,20.8
9292,26.1
9219,30.1
9987,30.3
5451,22.5
12695,17.2
9000,29.1
6036,21.5
9036,25.0
9585,24.5
8926,16.8
6439,29.1
8634,22.4
9073,26.1
4756,28.5
11121,17.4
8670,30.1
7902,22.8
8743,26.1
2524,29.7
4353,17.4
12292,17.4
7280,27.6
4902,17.8
3182,16.7
8743,31.9
5926,16.5
2743,30.7
2524,28.6
3548,26.1
9182,29.5
7719,28.6
9621,31.2
9073,31.4
8707,17.2
6841,26.1
9402,23.6
9402,27.9
11926,29.3
6914,30.0
9109,25.1
8780,15.8
7463,30.0
7317,17.5
11158,29.6
10500,28.7
14451,16.7
6109,29.3
5012,19.9
6073,21.2
14231,18.7
8780,30.1
6073,21.4
7902,29.7
4682,17.5
5963,15.7
7060,26.1
5158,28.2
7134,31.9
512,28.1
7756,21.6
8743,29.0
7609,28.1
13426,17.6
8414,29.7
6804,30.4
7756,25.1
5451,20.8
3512,29.8
5707,27.4
2780,28.8
7719,28.4
7609,29.0
6109,24.6
5780,26.0
3548,16.8
9695,31.2
10829,19.4
9000,17.2
6475,29.3
6073,17.2
9182,27.6
11268,19.2
10426,20.1
12146,25.5
4719,28.6
8926,16.9
9768,26.3
3804,29.5
6621,17.8
8707,26.1
10829,26.6
1573,28.8
10170,28.2
1902,28.5
9512,29.6
7609,15.0
3914,26.1
11890,29.3
5341,29.8
5743,27.4
7317,21.1
5853,17.4
10573,27.6
13719,21.5
8012,28.5
9585,26.8
6987,27.5
9878,29.4
7390,31.4
8780,16.1
12182,16.9
9329,29.3
9402,28.8
3146,16.9
8378,29.7
7756,28.0
6951,30.4
9621,24.5
9548,18.0
10170,29.8
5963,24.5
7939,23.3
8634,30.2
5341,26.2
6512,30.0
4463,16.9
9182,29.3
2597,27.0
6365,17.6
14341,20.8
10134,28.0
5378,30.0
9329,29.2
12804,24.3
10317,30.7
4719,28.6
11890,18.5
9292,29.5
6182,30.9
2524,26.0
6109,26.4
841,23.8
5048,20.1
8268,17.1
6658,26.2
12000,22.2
4756,17.5
2780,28.0
14634,17.1
7207,29.0
2853,28.1
12000,22.2
6621,26.8
3109,17.2
2451,25.8
9365,26.7
4207,17.4
6987,21.5
14524,20.5
15000,16.7
8451,28.4
7097,29.3
4060,23.5
6768,25.1
2341,28.3
7060,28.7
10134,28.2
11085,17.0
5780,24.2
6219,27.0
8926,29.2
7024,28.1
9365,31.3
5926,16.9
11231,29.2
8268,28.4
10243,27.2
5890,16.7
2560,27.1
12146,25.5
2524,27.7
12768,22.2
6256,21.2
6475,20.7
11195,26.1
6658,25.1
7060,25.2
5451,23.4
7024,30.4
10463,20.4
9512,24.0
8414,31.5
7353,29.1
10463,28.6
14012,18.4
12219,25.5
5231,18.2
10317,30.1
5231,28.6
6109,17.6
2597,30.1
5195,29.6
9439,17.9
10646,26.0
8414,26.0
8634,16.6
7902,29.7
6146,21.3
6804,21.5
6182,28.0
10097,30.3
6841,29.5
2634,31.4
6695,30.0
10792,21.0
10170,30.3
6109,24.6
2085,25.4
9878,29.1
8304,28.6
6987,21.5
12439,22.6
7902,29.7
11926,22.1
7207,27.7
4097,17.4
7390,21.2
6439,29.1
5158,28.8
7243,29.0
6439,18.9
10500,30.6
8707,31.5
8780,15.7
2634,26.7
5560,28.0
10207,28.0
12768,17.5
6329,26.9
12036,25.7
9768,30.3
3914,26.1
11597,28.5
13829,18.1
9731,31.5
11560,17.6
7207,17.6
3658,29.8
9329,31.3
3768,23.5
13243,16.9
8670,22.4
10390,25.7
7317,26.1
10280,26.9
2378,28.5
6109,17.3
7170,26.1
6256,28.0
4792,17.7
9219,29.4
5597,20.9
6329,29.4
6182,27.1
13463,21.6
5231,29.7
14121,21.1
10280,27.8
7134,17.6
6036,30.7
9402,29.3
3219,26.1
5195,28.7
8743,25.1
2634,30.3
5670,26.1
6365,21.5
9768,31.5
12402,17.4
1317,30.4
10682,30.4
5378,16.7
11121,21.3
10646,29.0
6182,30.9
2231,31.1
5341,20.6
6365,15.4
8304,26.6
6109,30.8
8414,29.8
14414,16.8
8012,31.5
9914,30.0
7280,29.4
1829,31.8
10134,30.3
5085,17.6
11634,25.9
10756,26.2
5048,20.1
10097,25.5
5926,16.6
5304,17.5
7097,31.7
13170,17.0
6841,27.8
13060,22.0
9256,29.3
6073,15.6
7353,31.8
7353,29.3
10280,26.5
3695,17.3
11414,28.3
14085,17.4
9878,30.3
2524,29.7
11890,29.1
7170,28.7
14048,16.5
12402,17.4
9073,29.5
7426,25.1
11597,26.0
2560,29.8
9036,17.1
8890,30.2
14378,18.9
9036,28.2
4939,29.5
9658,30.1
6439,30.3
9475,23.8
8012,21.8
6329,31.3
621,30.4
9256,30.1
9182,29.4
12621,23.3
7426,29.3
5195,18.1
3365,29.3
5670,21.9
8780,31.9
3109,16.7
1280,30.5
5012,20.0
8451,22.2
6402,29.9
6109,29.5
2085,31.2
9146,29.3
2597,27.0
9036,17.3
9621,31.2
7390,26.7
2121,30.9
5890,21.1
1097,23.7
9000,29.5
10280,27.8
6146,29.3
8670,15.5
6073,15.6
5560,23.8
6768,30.4
1207,30.7
10170,31.3
3621,17.1
12365,25.3
11341,21.5
11780,28.7
3621,17.3
10207,19.2
9475,23.9
9219,17.7
7792,26.6
4609,16.6
7097,29.0
7243,28.6
9182,28.2
8963,30.3
6146,30.9
9219,29.1
8853,30.1
2963,16.9
6658,26.7
6182,28.3
12439,22.5
7646,26.4
9768,26.4
14451,16.5
8451,26.6
7243,31.8
10829,26.8
5963,17.0
6146,21.3
9512,26.2
8414,27.9
6036,29.4
9512,24.6
10719,27.2
5597,26.3
10097,25.5
4353,17.4
6621,19.8
10756,19.5
2487,27.7
10134,29.8
10207,28.0
14231,17.0
2158,30.8
8670,16.3
10207,27.0
5048,19.7
8707,32.0
11524,21.7
8634,29.4
4682,28.6
3768,17.1
10280,30.2
2524,28.3
4865,17.6
5780,21.8
10426,27.7
8378,28.4
10536,30.0
12000,17.0
5597,20.9
14451,20.6
7719,29.5
5158,29.0
8890,29.3
3402,17.0
11707,17.9
3731,29.8
9109,29.3
10207,30.2
9036,17.1
6768,15.2
2707,30.4
8817,15.9
9146,29.3
5451,23.4
7756,28.4
7207,21.0
12182,25.5
8304,17.2
8670,30.2
8963,22.8
8743,26.3
7390,29.3
5524,23.8
7353,28.1
7243,29.3
13865,17.5
7609,32.0
9256,31.5
6329,18.2
6036,30.7
5341,16.7
8560,17.3
8963,27.7
12292,22.6
6512,20.7
9219,29.1
6878,29.1
6512,31.0
6439,31.5
6548,31.1
7390,29.2
12804,24.4
6585,26.3
6548,31.1
10390,28.5
9292,29.1
10170,25.5
10060,27.0
7170,21.5
9146,29.4
12000,25.7
2414,23.5
10353,27.8
5378,22.7
8817,31.4
8817,30.1
9585,28.8
2963,16.9
11341,17.0
4097,23.5
6768,17.5
7609,26.0
4280,16.5
6695,19.9
9000,27.8
11597,19.0
6000,17.1
13317,21.8
7024,29.2
1060,31.1
9219,17.6
7170,29.1
9695,31.5
6146,28.3
10939,21.2
6109,29.5
6000,27.8
10463,20.2
10207,27.4
2780,28.1
10536,28.7
12329,16.7
6768,29.2
7134,28.7
3548,23.5
10207,27.9
7682,29.4
3512,16.8
9951,31.2
7243,21.0
10536,30.6
3109,23.5
10682,30.4
7500,17.2
11158,29.6
9036,26.1
13939,17.4
8670,16.6
9365,24.8
6951,28.1
10536,27.6
1792,28.5
5707,17.4
6292,31.4
10939,28.1
6219,17.5
5414,26.3
